ÿ0	35	31	3
1	19	23	14
2	14	23	18
3	18	14	23
4	19	23	15
5	21	17	12
6	15	10	21
7	12	21	26
8	11	15	21
9	14	18	25
10	13	22	17
11	17	21	12
12	13	23	19
13	13	19	23
14	23	14	19
15	21	12	16
16	23	19	14
17	10	15	21
18	17	12	23
19	13	17	23
20	25	21	16
21	14	25	21
22	25	21	17
23	18	14	25
24	40	44	51
25	10	21	16
26	13	17	23
27	21	17	12
28	25	20	16
29	16	21	12
30	12	17	23
31	24	20	16
32	19	23	14
33	21	10	17
34	17	13	23
35	13	23	19
36	13	17	23
37	21	17	12
38	16	12	23
39	19	23	15
40	23	15	19
41	10	17	21
42	14	19	25
43	17	13	21
44	18	23	14
45	13	17	23
46	25	21	16
47	10	15	21
48	17	13	23
49	23	19	15
50	15	10	21
51	14	23	19
52	10	21	16
53	23	14	19
54	23	14	18
55	13	21	17
56	12	16	23
57	21	13	17
58	17	13	23
59	10	14	21
60	11	15	21
61	17	21	13
62	17	21	12
63	14	25	20
64	19	14	28
65	23	19	15
66	12	21	16
67	23	19	14
68	19	13	23
69	25	14	20
70	15	23	19
71	30	20	42
72	29	14	19
73	21	17	12
74	23	19	14
75	21	17	13
76	25	14	21
77	13	23	19
78	20	25	16
79	23	19	15
80	12	16	23
81	25	14	20
82	14	19	25
83	19	14	25
84	23	19	15
85	25	14	21
86	19	23	14
87	25	15	21
88	14	25	20
89	21	11	17
90	17	12	23
91	25	14	21
92	18	23	14
93	12	21	17
94	13	17	23
95	12	23	19
96	19	23	14
97	23	15	19
98	10	21	16
99	41	51	47
100	19	15	25
101	23	12	18
102	25	14	21
103	18	23	14
104	17	13	21
105	12	16	21
106	12	23	18
107	19	23	15
108	14	19	23
109	68	59	63
110	19	14	25
111	12	16	23
112	19	14	25
113	23	19	14
114	23	19	14
115	19	12	23
116	15	19	25
117	17	12	23
118	18	14	23
119	25	20	16
120	23	12	18
121	12	17	23
122	19	23	14
123	10	15	21
124	14	23	18
125	12	23	18
126	23	14	18
127	12	21	17
128	10	14	23
129	54	54	16
130	10	21	17
131	14	19	25
132	18	23	14
133	21	12	17
134	13	17	22
135	19	15	25
136	21	10	16
137	14	23	18
138	23	18	14
139	19	14	25
140	14	25	20
141	12	23	19
142	19	14	25
143	23	14	19
144	16	21	12
145	23	19	14
146	16	12	23
147	17	21	13
148	12	16	23
149	14	19	25
150	21	17	12
151	13	17	23
152	19	14	25
153	18	14	25
154	12	21	17
155	14	19	23
156	23	14	18
157	19	14	25
158	15	25	21
159	13	17	23
160	32	37	13
161	15	23	19
162	21	17	12
163	17	13	23
164	21	17	12
165	17	22	13
166	21	25	17
167	17	12	23
168	21	12	17
169	21	17	12
170	18	14	24
171	12	23	19
172	23	13	19
173	12	23	19
174	41	51	47
175	13	17	21
176	25	14	20
177	19	23	14
178	24	20	16
179	12	23	19
180	45	31	41
181	15	23	19
182	25	14	20
183	12	17	23
184	21	16	12
185	24	20	16
186	14	23	19
187	17	21	13
188	10	21	16
189	14	23	19
190	12	16	23
191	19	15	25
192	23	12	18
193	21	11	17
194	12	23	19
195	10	15	21
196	25	21	17
197	14	23	19
198	10	15	23
199	12	23	19
200	12	21	16
201	21	10	17
202	11	15	22
203	21	11	17
204	21	10	16
205	20	25	16
206	21	16	12
207	14	18	23
208	33	38	29
209	16	12	23
210	21	16	12
211	12	21	16
212	21	12	17
213	21	25	16
214	57	52	61
215	21	12	17
216	12	17	21
217	19	14	25
218	17	22	13
219	21	17	13
220	21	16	12
221	12	16	23
222	23	14	18
223	21	10	17
224	14	18	25
225	16	12	23
226	21	10	17
227	23	18	14
228	16	12	23
229	20	11	24
230	67	77	71
231	14	23	18
232	21	12	17
233	21	25	16
234	14	19	25
235	16	21	12
236	21	25	16
237	23	19	14
238	12	17	23
239	15	11	24
240	21	16	12
241	10	21	16
242	25	20	16
243	10	15	21
244	17	21	12
245	14	25	21
246	21	12	17
247	23	40	16
248	23	19	14
249	21	25	16
250	23	14	18
251	21	17	12
252	25	20	16
253	14	23	18
254	19	23	14
255	21	17	12
256	18	14	23
257	13	23	19
258	21	17	13
259	14	18	25
260	19	14	23
261	23	13	19
262	19	15	23
263	13	22	17
264	18	12	23
265	21	11	17
266	21	12	17
267	13	17	23
268	19	23	15
269	12	23	18
270	189	8	13
271	23	18	14
272	14	25	20
273	14	24	20
274	14	18	23
275	47	43	35
276	12	21	16
277	620	15	10
278	19	10	23
279	23	19	14
280	14	23	18
281	23	15	19
282	25	20	16
283	21	17	13
284	13	17	21
285	21	25	17
286	13	17	23
287	23	18	14
288	17	10	21
289	13	21	17
290	13	23	19
291	17	21	12
292	14	25	20
293	14	18	25
294	17	22	13
295	19	14	25
296	18	14	25
297	21	16	12
298	23	18	14
299	25	14	20
300	21	17	13
301	21	11	17
302	17	12	21
303	16	21	12
304	25	21	17
305	23	14	18
306	9	13	29
307	26	30	22
308	23	13	19
309	13	17	23
310	12	17	23
311	13	17	21
312	30	26	34
313	12	23	19
314	23	18	14
315	25	20	16
316	8	13	269
317	19	23	14
318	15	25	21
319	12	17	21
320	20	24	16
321	14	25	20
322	22	17	13
323	53	57	48
324	21	10	16
325	21	17	13
326	20	25	16
327	12	21	17
328	21	17	12
329	40	13	19
330	25	21	16
331	14	18	24
332	19	15	25
333	12	17	23
334	14	23	19
335	25	21	16
336	21	16	12
337	18	14	25
338	23	19	14
339	23	19	14
340	21	17	13
341	21	12	16
342	23	18	14
343	19	15	25
344	17	12	23
345	14	19	25
346	12	21	17
347	23	12	19
348	23	19	15
349	23	19	14
350	21	12	17
351	21	17	12
352	17	13	23
353	18	23	14
354	21	12	16
355	26	13	22
356	21	11	17
357	14	23	18
358	69	75	63
359	14	25	21
360	43	57	51
361	17	21	12
362	23	19	15
363	16	12	23
364	21	12	17
365	17	22	13
366	23	14	18
367	17	12	23
368	12	23	18
369	19	23	15
370	23	14	19
371	14	23	18
372	20	25	16
373	12	21	17
374	23	19	14
375	18	23	14
376	21	17	12
377	21	17	12
378	12	17	21
379	21	16	12
380	21	13	17
381	12	23	19
382	12	21	16
383	13	17	23
384	17	12	21
385	12	16	23
386	18	14	25
387	21	10	16
388	10	21	16
389	10	21	17
390	16	21	12
391	14	23	19
392	21	17	12
393	17	21	13
