
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
386	14	28	40
387	950	962	974
388	985	956	973
389	614	626	638
390	141	165	155
391	230	256	246
392	334	320	305
393	171	195	185
394	695	708	720
395	1294	1280	1304
396	61	85	75
397	687	661	677
398	536	548	559
399	443	430	416
400	271	287	298
401	114	138	128
402	167	155	140
403	209	225	237
404	145	116	133
405	397	409	385
406	3102	3078	3092
407	815	827	803
408	856	868	882
409	56	68	43
410	415	439	429
411	861	834	849
412	695	720	708
413	809	781	799
414	194	208	220
415	275	260	289
416	918	894	908
417	2576	2600	2590
418	1535	1547	1523
419	84	96	109
420	729	714	743
421	744	758	770
422	423	449	437
423	715	703	689
424	7	20	35
425	173	145	161
426	451	479	469
427	990	963	979
428	807	821	833
429	466	482	494
430	9	36	24
431	402	429	418
432	807	831	823
433	203	217	229
434	237	265	253
435	166	178	190
436	224	198	214
437	890	904	915
438	730	718	704
439	1214	1202	1190
440	607	623	631
441	420	432	406
442	127	151	141
443	640	628	614
444	669	694	684
445	842	813	830
446	819	808	796
447	300	288	273
448	42	66	56
449	946	936	924
450	959	971	946
451	599	611	623
452	309	296	323
453	187	210	200
454	929	943	955
455	770	755	782
456	868	884	892
457	51	37	65
458	631	656	646
459	41	55	27
460	179	203	193
461	519	543	533
462	595	569	585
463	915	928	942
464	982	994	968
465	46	59	71
466	251	262	274
467	87	103	116
468	607	633	623
469	817	839	831
470	799	813	827
471	957	974	982
472	580	564	592
473	792	804	816
474	917	903	929
475	901	925	917
476	647	690	690
477	683	669	696
478	594	618	608
479	263	237	253
480	108	122	134
481	233	221	205
482	672	696	686
483	929	943	955
484	917	892	907
485	838	850	861
486	946	973	963
487	785	799	811
488	614	640	630
489	444	470	458
490	513	487	505
491	934	948	960
492	207	221	233
493	115	141	131
494	185	196	208
495	514	500	527
496	299	313	325
497	412	400	386
498	949	973	963
499	227	215	240
500	583	606	596
501	591	580	566
502	873	897	887
503	465	454	438
504	436	448	460
505	356	380	370
506	421	435	448
507	193	218	208
508	401	413	389
509	804	829	817
510	420	433	445
511	985	973	960
512	686	699	711
513	100	114	126
514	828	841	853
515	280	292	264
516	228	241	255
517	96	67	84
518	1298	1274	1288
519	554	540	526
520	466	440	456
521	277	263	247
522	685	659	673
523	582	606	596
524	63	51	37
525	207	221	233
526	538	549	561
527	619	605	633
528	267	253	238
529	599	627	615
530	328	340	352
531	386	412	402
532	599	613	625
533	959	933	949
534	408	431	421
535	243	260	230
536	905	928	918
537	430	446	460
538	776	799	789
539	680	654	670
540	38	62	52
541	256	226	246
542	401	425	415
543	708	720	695
544	991	991	1000
545	170	198	188
546	712	724	737
547	884	870	856
548	466	478	490
549	658	631	648
550	3	28	18
551	245	272	260
552	1207	1179	1192
553	368	344	358
554	730	746	755
555	1635	1611	1627
556	891	867	881
557	314	338	328
558	720	693	708
559	470	483	497
560	196	210	228
561	633	623	609
562	1002	1015	7
563	845	857	869
564	22	1008	10
565	494	518	508
566	567	583	597
567	48	76	64
568	490	514	504
569	663	687	677
570	957	985	973
571	239	263	253
572	48	62	74
573	819	830	842
574	381	353	369
575	2834	2808	2822
576	204	189	218
577	395	409	421
578	110	134	124
579	265	291	281
580	597	629	615
581	405	428	418
582	117	103	130
583	363	388	378
584	146	133	160
585	678	691	705
586	625	611	595
587	437	449	425
588	999	1025	1015
589	797	812	826
590	339	326	353
591	185	199	212
592	976	964	952
593	718	745	733
594	387	399	411
595	881	870	856
596	493	507	520
597	878	902	892
598	209	225	238
599	824	812	798
600	662	635	650
601	112	124	136
602	68	41	56
603	645	658	672
604	118	106	95
605	483	497	511
606	355	343	329
607	550	564	578
608	788	760	776
609	733	745	720
610	272	245	260
611	568	579	554
612	166	180	192
613	408	423	437
614	479	493	505
615	1010	1038	1028
616	346	368	359
617	766	780	794
618	714	737	727
619	435	446	461
620	344	358	370
621	730	704	720
622	834	857	847
623	1877	1848	1864
624	824	814	802
625	407	396	384
626	282	306	296
627	344	368	358
628	468	491	481
629	50	62	39
630	427	441	455
631	589	563	579
632	290	314	304
633	100	90	76
634	978	1003	993
635	536	511	526
636	690	703	717
637	976	946	964
638	521	507	533
639	187	213	203
640	639	623	653
641	874	901	888
642	115	141	131
643	75	87	61
644	674	686	698
645	822	806	793
646	243	257	269
647	958	980	971
648	551	535	563
649	534	548	559
650	841	808	822
651	725	738	753
652	569	595	583
653	886	900	914
654	309	336	324
655	14	40	30
656	669	692	682
657	907	923	937
658	97	83	111
659	7	975	993
660	956	975	944
661	5798	5826	5812
662	892	915	905
663	448	471	461
664	224	238	252
665	387	411	401
666	971	944	959
667	2323	2347	2337
668	763	751	738
669	802	832	818
670	487	503	516
671	851	864	878
672	16	40	30
673	459	486	474
674	461	487	477
675	810	785	798
676	617	630	642
677	443	465	457
678	637	652	666
679	787	799	811
680	956	968	940
681	691	715	705
682	448	460	472
683	864	850	878
684	375	388	402
685	993	965	983
686	614	628	640
687	57	81	71
688	506	491	520
689	434	406	422
690	372	386	398
691	149	161	136
692	179	191	205
693	311	300	325
694	266	292	282
695	431	443	455
696	173	159	183
697	871	883	897
698	973	985	960
699	318	330	306
700	671	696	686
701	874	886	858
702	627	641	653
703	802	825	815
704	588	614	604
705	608	630	622
706	688	700	674
707	802	826	816
708	424	412	398
709	352	365	377
710	151	179	167
711	665	679	693
712	388	405	419
713	625	655	641
714	745	733	719
715	294	306	320
716	742	712	728
717	804	828	818
718	55	27	43
719	297	323	313
720	505	519	531
721	228	216	202
722	288	311	301
723	1490	1478	1466
724	712	726	739
725	633	656	646
726	107	93	120
727	954	978	968
728	318	330	342
729	690	703	717
730	637	661	651
731	987	1003	1015
732	159	185	173
733	934	946	920
734	517	531	543
735	872	884	860
736	665	693	681
737	24	37	49
738	698	670	686
739	282	306	296
740	426	397	414
741	279	302	292
742	657	631	647
743	9	25	33
744	1009	998	984
745	230	242	254
746	811	823	835
747	468	480	494
748	258	273	287
749	462	476	488
750	309	320	334
751	644	632	617
752	3664	3653	3641
753	631	645	657
754	974	998	988
755	752	727	742
756	98	124	114
757	731	760	748
758	462	486	476
759	747	769	761
760	361	377	388
761	106	128	120
762	830	844	855
763	240	253	265
764	499	483	512
765	2418	2446	2434
766	188	202	216
767	286	309	299
768	726	710	737
769	425	451	441
770	426	412	438
771	517	541	531
772	1698	1722	1713
773	826	850	840
774	446	463	475
775	381	367	395
776	676	700	691
777	199	172	187
778	912	938	928
779	35	7	23
780	704	676	690
781	434	458	448
782	391	363	381
783	4438	4463	4451
784	11	983	999
785	496	521	509
786	596	611	625
787	641	653	627
788	1000	972	988
789	838	865	853
790	949	963	977
791	828	852	842
792	631	644	656
793	351	339	327
794	408	434	424
795	331	353	345
796	90	102	76
797	194	220	210
798	186	170	198
799	653	684	667
800	736	752	765
801	97	111	125
802	2842	2866	2856
803	169	157	181
804	151	127	141
805	635	651	664
806	405	393	417
807	389	413	403
808	896	921	911
809	193	164	182
810	552	564	578
811	991	963	981
812	712	740	730
813	370	398	386
814	518	490	508
815	567	591	581
816	240	252	226
817	378	403	393
818	852	826	842
819	2618	2644	2634
820	550	574	564
821	384	407	397
822	546	516	534
823	643	629	657
824	5407	5433	5421
825	964	952	940
826	65	84	98
827	292	264	280
828	728	701	716
829	821	850	835
830	237	209	225
831	937	949	925
832	39	53	66
833	681	669	655
834	930	944	918
835	86	97	109
836	663	689	679
837	701	713	725
838	732	704	720
839	248	225	238
840	1014	998	1028
841	281	304	294
842	5	981	997
843	581	604	594
844	104	128	118
845	533	508	523
846	130	144	158
847	846	835	821
848	594	618	608
849	82	109	99
850	206	233	222
851	817	840	830
852	193	177	206
853	1818	1794	1808
854	387	358	375
855	382	405	395
856	528	556	544
857	695	710	722
858	826	850	840
859	918	940	932
860	698	673	688
861	348	372	362
862	564	580	595
863	30	14	44
864	534	557	547
865	235	221	208
866	219	233	245
867	828	813	842
868	459	473	486
869	237	225	209
870	825	837	812
871	292	306	318
872	726	700	714
873	535	552	560
874	325	296	315
875	768	781	793
876	614	628	640
877	867	857	843
878	959	983	973
879	800	825	815
880	337	351	362
881	397	422	412
882	3080	3103	3093
883	151	177	167
884	423	448	438
885	301	287	273
886	343	366	356
887	832	844	819
888	203	229	217
889	59	75	88
890	316	340	330
891	1011	1000	984
892	815	828	840
893	1302	1330	1318
894	108	82	98
895	954	978	968
896	823	810	837
897	211	225	237
898	918	946	934
899	42	54	66
900	959	971	983
901	565	541	555
902	230	244	258
903	752	775	765
904	796	809	821
905	575	591	605
906	461	488	477
907	472	496	486
908	63	75	87
909	1000	1014	5
910	958	985	973
911	567	579	591
912	95	122	112
913	323	337	351
914	460	431	448
915	270	282	256
916	371	358	344
917	633	657	647
918	11	1016	1000
919	471	435	456
