
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
389	27	17	7
390	16	4	28
391	27	17	5
392	3	15	27
393	21	31	7
394	53	16	5
395	19	5	29
396	29	7	19
397	5	25	15
398	32	6	22
399	160	150	138
400	31	7	21
401	29	5	19
402	17	28	7
403	27	17	5
404	3	18994	8
405	28	5	18
406	19	7	30
407	30	6	20
408	27	17	5
409	29	17	7
410	3	19250	7
411	29	5	19
412	5	19	31
413	18	6	30
414	17	5	29
415	20	5	30
416	253	265	277
417	5	29	19
418	3	25	15
419	3	16416	8
420	6	36	24
421	30	18	5
422	299	309	288
423	29	7	19
424	3	29	21
425	3	17	31
426	31	19	7
427	55	31	45
428	20	32	9
429	18	30	8
430	29	5	19
431	32	5	22
432	49	24	39
433	5	62	21021
434	17	27	5
435	62	3	24293
436	27	17	7
437	16	3	26
438	18	33	6
439	8	14232	3
440	6	28	18
441	31	21	5
442	7	18682	3
443	19	7	31
444	18	3	8
445	21	7	31
446	35	23	7
447	17	3	29
448	31	19	5
449	21	7	32
450	5	28	18
451	5	17	28
452	5	17	29
453	7	19	30
454	19	7	31
455	3	27	17
456	8271	3	7
457	17	5	29
458	23	7	33
459	31	19	9
460	27	3	17
461	27	3	17
462	28	5	18
463	5	20	30
464	31	7	21
465	3	8	11781
466	31	16	4
467	30	20	6
468	3	8	18437
469	18	5	30
470	19	29	7
471	3	17	28
472	3	29	19
473	5	33	23
474	29	17	5
475	19	5	30
476	27	5	19
477	3	7	21
478	17383	3	8
479	30	7	20
480	5	32	22
481	32	20	7
482	19	7	33
483	5	20	32
484	19	29	5
485	28	4	18
486	3	29	19
487	20	30	5
488	32	8	22
489	3	8	13958
490	17	5	29
491	19	7	29
492	5	27	17
493	18	28	6
494	6	30	20
495	17	28	5
496	17	5	28
497	19	5	30
498	16	28	4
499	3	26	16
500	5	17	29
501	19	29	7
502	27	17	5
503	28	5	18
504	19	31	5
505	16	5	28
506	18	30	5
507	19	5	33
508	31	21	7
509	3	31	21
510	19	33	7
511	17	3	32
512	17	5	31
513	5	17	28
514	5	17	29
515	19	7	31
516	58	43	5
517	17	5	29
518	17	5	29
519	5248	3	8
520	28	18	6
521	17	27	5
522	28	18	6
523	19	7	30
524	27	5	17
525	5	27	17
526	17	27	5
527	20556	3	8
528	17	5	28
