
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
390	136	156	174
391	464	484	502
392	468	486	504
393	495	515	533
394	449	467	487
395	9	29	47
396	228	248	267
397	204	222	242
398	399	417	437
399	466	484	504
400	446	466	484
401	848	867	887
402	749	769	788
403	153	171	191
404	811	831	850
405	183	203	221
406	606	625	645
407	294	314	332
408	789	809	827
409	226	244	264
410	78	96	114
411	112	132	150
412	783	803	821
413	650	670	688
414	389	407	427
415	144	162	182
416	243	263	281
417	59	77	97
418	937	957	975
419	29	49	67
420	100	118	138
421	185	203	223
422	759	779	799
423	110	130	148
424	842	860	880
425	772	790	810
426	637	657	675
427	299	318	338
428	335	353	371
429	659	679	697
430	193	213	231
431	735	755	773
432	525	543	563
433	341	359	379
434	541	559	579
435	914	932	952
436	228	246	266
437	532	550	570
438	456	475	495
439	624	642	662
440	916	936	954
441	346	364	384
442	718	736	756
443	686	706	724
444	616	636	654
445	762	780	800
446	626	644	664
447	27	45	65
448	787	805	825
449	305	323	343
450	134	154	172
451	810	830	848
452	393	413	431
453	50	70	88
454	961	979	999
455	905	923	943
456	245	265	283
457	734	754	772
458	160	179	199
459	326	344	364
460	69	87	107
461	50	68	88
462	498	516	536
463	503	522	542
464	442	460	480
465	451	469	489
466	102	122	142
467	142	160	180
468	781	801	819
469	196	215	233
470	725	743	763
471	933	951	971
472	320	340	360
473	519	539	557
474	513	533	553
475	27	45	65
476	212	230	250
477	345	363	383
478	87	107	125
479	509	527	547
480	466	486	504
481	358	378	396
482	611	631	651
483	819	839	857
484	607	625	645
485	622	642	660
486	957	975	995
487	378	396	416
488	220	238	258
489	53	73	91
490	378	398	416
491	815	835	853
492	312	330	350
493	683	703	721
494	661	679	699
495	38	58	86
496	46	64	82
497	719	737	757
498	439	458	478
499	421	441	459
500	796	816	834
501	656	676	694
502	843	863	881
503	535	553	573
504	474	492	512
505	935	955	973
506	1007	1025	8
507	838	856	876
508	123	143	161
509	157	177	195
510	289	309	328
511	593	611	631
512	464	483	503
513	333	351	371
514	936	956	974
515	1002	1022	1042
516	559	579	598
517	44	64	83
518	446	464	482
519	860	880	898
520	306	326	346
521	295	313	333
522	32	52	70
523	565	585	603
524	374	394	412
525	987	1005	1025
526	59	77	97
527	541	561	581
528	134	154	172
529	77	95	115
530	228	248	268
531	547	565	585
532	942	960	980
533	749	769	788
534	502	520	540
535	82	100	120
536	447	465	485
537	925	943	963
538	623	643	662
539	918	936	956
540	622	642	660
541	839	857	875
542	508	528	546
543	695	713	733
544	384	402	422
545	435	453	473
546	893	913	931
547	453	473	491
548	757	775	795
549	254	274	293
550	14	32	52
551	60	78	98
552	98	118	144
553	435	453	478
554	720	740	758
555	905	925	943
556	825	843	863
557	97	117	135
558	481	499	519
559	515	535	553
560	738	758	778
561	52	72	90
562	909	929	947
563	922	940	960
564	515	537	557
565	123	141	161
566	858	876	896
567	50	70	90
568	328	346	366
569	937	955	975
570	741	760	780
571	6	26	45
572	584	604	622
573	161	179	199
574	787	805	823
575	557	575	595
576	571	591	609
577	492	510	530
578	542	560	580
579	534	552	572
580	372	392	410
581	153	173	192
582	618	636	656
583	969	987	1007
584	576	595	615
585	202	222	242
586	597	617	635
587	831	851	871
588	85	105	125
589	1013	1033	7
590	678	698	716
591	392	410	430
592	400	420	439
593	659	679	699
594	35	55	73
595	243	261	281
596	652	672	690
597	500	518	538
598	462	482	500
599	487	507	525
600	543	561	581
601	22	42	62
602	760	778	798
603	813	831	851
604	354	372	392
605	765	783	803
606	588	606	626
607	253	271	291
608	63	81	101
609	922	942	960
610	716	736	754
611	995	1015	1033
612	108	128	147
613	321	340	360
614	663	681	701
615	648	668	686
616	631	651	669
617	728	748	766
618	556	574	594
619	933	951	971
620	991	1011	1033
621	393	411	431
622	155	173	193
623	531	549	569
624	199	219	238
625	635	655	673
626	20	40	58
627	512	530	550
628	798	816	836
629	423	441	461
630	372	391	411
631	149	167	185
632	868	886	906
633	829	849	873
634	258	278	296
635	384	404	424
636	1011	1029	7
637	40	59	79
638	78	96	116
639	524	544	562
640	757	775	795
641	91	109	129
642	37	57	75
643	537	555	575
644	164	184	202
