
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	30	52	10
395	27	49	7
396	52	9	32
397	25	47	5
398	29	51	9
399	28	50	8
400	48	5	27
401	53	9	33
402	49	7	29
403	5	27	54
404	31	51	9
405	8	30	52
406	49	5	29
407	9	31	56
408	48	4	26
409	27	49	7
410	48	7	28
411	7	29	50
412	47	3	27
413	5	27	49
414	32	52	10
415	49	7	29
416	10	30	52
417	27	49	7
418	3	24	46
419	50	7	29
420	48	6	28
421	46	5	26
422	27	49	7
423	6	28	50
424	47	3	25
425	52	10	32
426	46	5	26
427	51	9	31
428	9	29	53
429	25	47	5
430	10	32	54
431	48	6	28
432	5	25	46
433	7	27	49
434	5	27	52
435	27	49	7
436	7	29	51
437	50	6	28
438	47	3	25
439	31	52	11
440	11	31	53
441	3	25	47
442	5	27	49
443	46	3	24
444	3	25	47
445	49	5	27
446	51	7	29
447	8	28	50
448	47	5	27
449	8	28	50
450	52	8	32
451	25	45	3
452	5	27	49
453	49	7	29
454	47	5	27
455	50	7	29
456	9	31	53
457	29	49	7
458	25	47	5
459	7	27	49
460	7	33	55
461	52	9	32
462	52	10	32
463	48	5	27
464	5	27	49
465	11	31	53
466	47	3	27
467	52	10	32
468	31	53	11
469	52	8	32
470	53	5	33
471	9	31	53
472	8	30	52
473	48	6	28
474	11	31	55
475	3	25	47
476	33	53	11
477	50	6	28
478	7	27	49
479	11	31	54
480	30	50	8
481	51	9	31
482	28	50	8
483	9	29	53
484	49	7	29
485	48	6	28
486	51	7	29
487	7	29	51
488	27	47	5
489	6	28	50
490	47	5	27
491	6	28	50
492	52	9	32
493	49	5	27
494	47	3	25
495	48	6	28
496	30	50	9
497	53	11	33
498	28	50	8
499	49	5	27
500	28	48	6
501	29	49	7
502	8	28	50
503	5	27	49
504	49	7	29
505	49	5	29
506	29	49	7
507	47	5	27
508	50	8	30
509	27	48	7
510	27	49	7
511	9	31	53
512	47	5	27
513	8	28	50
514	5	26	48
515	25	45	3
516	27	49	7
517	26	48	6
518	29	49	7
519	8	30	52
520	45	3	25
521	48	6	28
522	31	53	11
523	3	25	47
524	52	10	32
525	7	27	50
526	28	50	8
527	3	25	47
528	47	3	27
529	49	7	29
530	52	11	32
531	51	9	31
532	3	25	47
533	27	47	5
534	51	9	31
535	3	25	47
536	51	9	31
537	11	33	54
538	8	28	50
539	25	47	5
540	27	47	5
541	8	30	52
542	47	3	27
543	31	53	11
544	3	25	46
545	48	6	28
546	47	5	27
547	50	8	30
548	5	27	49
549	50	8	30
550	9	29	51
551	9	29	53
552	30	50	10
553	26	46	4
554	30	50	9
555	29	51	9
556	8	30	52
557	29	49	7
558	27	49	7
559	11	32	54
560	3	29	53
561	9	31	53
562	3	25	47
563	11	31	53
564	5	27	49
565	9	29	51
566	28	50	8
567	24	46	4
568	26	46	6
569	5	25	48
570	5	27	49
571	47	5	27
572	4	24	46
573	51	9	31
574	48	6	28
575	51	7	31
576	30	52	10
577	3	25	47
578	3	24	46
579	5	27	49
580	30	52	10
581	30	52	10
582	28	50	8
583	5	27	49
584	24	46	4
585	30	52	10
586	52	10	32
587	34	56	14
588	5	25	48
589	50	7	30
590	49	7	29
591	5	25	47
592	3	25	47
593	50	6	30
594	28	48	8
595	29	51	9
596	27	49	7
597	25	47	5
598	51	7	31
599	28	50	8
600	51	7	29
601	30	52	10
602	9	31	53
603	26	46	4
604	30	52	10
605	28	48	7
606	8	30	52
607	50	7	30
608	25	47	5
609	27	48	7
610	27	49	7
611	47	3	25
612	27	49	7
613	52	9	32
614	3	25	47
615	31	53	11
616	50	7	29
617	11	31	53
618	5	27	49
619	10	32	54
620	51	7	29
621	50	6	30
622	7	29	51
623	53	11	33
624	8	30	52
625	27	49	7
626	47	3	27
627	6	26	48
628	3	25	47
629	27	49	7
630	51	9	31
631	30	52	10
632	30	50	9
633	9	31	53
634	27	47	5
635	50	8	30
636	31	53	11
637	25	47	5
638	26	48	6
639	47	5	27
640	50	9	30
641	9	29	51
642	50	8	30
643	50	7	28
644	31	53	11
645	50	8	30
646	11	31	53
647	49	5	29
648	31	51	9
649	30	50	8
650	8	30	52
651	7	29	50
652	27	49	7
653	50	6	28
654	29	51	9
655	49	5	27
656	3	25	47
657	48	6	28
658	27	47	5
659	9	29	52
660	48	6	28
661	7	28	50
662	48	6	28
663	27	49	7
664	31	51	11
665	11	31	54
666	26	46	4
667	52	9	32
668	50	6	30
669	45	3	25
670	9	29	53
671	49	7	29
672	11	33	54
673	7	28	50
674	52	9	30
675	3	25	47
676	47	5	27
677	53	9	33
678	29	50	9
679	47	5	27
680	25	47	5
681	47	5	27
682	47	3	27
683	27	47	5
684	52	9	32
685	47	3	27
686	47	3	25
687	9	30	52
688	11	31	54
689	47	5	27
690	26	46	5
691	25	47	5
692	27	49	7
693	5	26	48
694	5	27	49
695	58	7	34
696	5	25	49
697	3	25	47
698	9	31	53
699	47	3	27
700	25	47	5
701	3	25	47
702	5	27	49
703	28	48	6
704	9	30	52
705	5	27	49
706	7	27	51
707	48	6	28
708	51	9	31
709	12	34	56
710	9	31	52
711	53	9	33
712	10	30	52
713	27	49	7
714	9	31	52
715	48	7	28
716	8	30	52
717	51	9	31
718	7	29	51
719	52	10	32
720	28	50	8
721	45	3	25
722	27	48	7
723	30	52	10
724	9	31	53
725	49	7	29
726	7	27	49
727	32	52	10
728	29	51	9
729	9	31	53
730	53	9	33
731	9	81	51
732	3	25	47
733	52	8	30
734	3	25	47
735	29	51	9
736	9	31	53
737	49	5	27
738	28	50	8
739	30	52	10
740	31	53	11
741	5	27	49
742	7	27	51
743	11	31	55
744	45	3	25
745	31	52	11
746	27	47	5
747	49	5	29
748	3	25	46
749	46	3	24
750	50	7	29
751	47	3	27
752	30	50	8
753	27	49	7
754	8	30	52
755	31	53	11
756	3	25	46
757	5	26	48
758	5	27	49
759	7	29	50
760	3	25	47
761	9	31	53
762	53	11	33
763	30	52	10
764	49	7	29
765	7	27	51
766	27	47	5
767	10	30	52
768	53	11	33
769	6	28	50
770	30	52	10
771	47	3	27
772	8	30	52
773	32	52	11
774	26	48	6
775	51	9	31
776	29	51	9
777	3	25	47
778	5	27	48
779	51	7	31
780	28	48	7
781	3	25	47
782	49	7	29
783	49	7	29
