
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	5	27	48
395	27	47	5
396	49	5	27
397	27	48	7
398	53	9	31
399	29	51	9
400	30	52	10
401	27	49	7
402	5	27	49
403	30	50	8
404	49	5	29
405	25	46	5
406	27	49	7
407	6	28	50
408	45	3	25
409	7	29	51
410	9	31	52
411	30	50	8
412	30	50	10
413	53	9	31
414	52	9	30
415	5	26	48
416	27	49	7
417	7	27	49
418	6	28	50
419	27	47	7
420	51	9	31
421	7	29	51
422	3	25	47
423	53	11	33
424	50	8	30
425	48	5	26
426	9	29	53
427	8	30	52
428	29	50	9
429	5	27	49
430	8	30	52
431	25	45	3
432	25	47	5
433	47	5	27
434	27	47	5
435	9	29	53
436	29	49	7
437	3	25	47
438	5	25	49
439	5	25	49
440	29	51	9
441	30	52	10
442	46	3	24
443	6	28	50
444	50	8	30
445	27	47	5
446	29	49	7
447	25	47	5
448	30	52	10
449	29	50	9
450	25	46	5
451	47	5	27
452	46	5	26
453	47	5	27
454	32	52	11
455	8	30	52
456	49	7	29
457	49	7	29
458	5	27	49
459	30	52	10
460	3	25	47
461	5	27	49
462	27	49	7
463	27	47	5
464	48	4	28
465	51	9	31
466	47	3	25
467	27	49	7
468	5	26	48
469	10	30	54
470	29	49	7
471	25	47	5
472	27	49	7
473	7	28	50
474	10	30	54
475	25	47	5
476	29	50	9
477	5	27	49
478	25	45	3
479	53	11	33
480	29	50	9
481	45	3	25
482	29	51	9
483	26	48	6
484	50	8	30
485	3	25	47
486	7	27	49
487	29	49	9
488	52	8	30
489	5	27	49
490	29	51	9
491	9	31	53
492	48	5	26
493	49	7	29
494	5	27	48
495	31	51	11
496	50	6	28
497	25	45	3
498	47	3	25
499	29	49	9
500	30	52	10
501	25	45	3
502	31	52	11
503	25	46	5
504	3	25	46
505	7	27	51
506	50	8	30
507	10	30	54
508	47	5	27
509	26	48	6
510	50	9	30
511	52	8	32
512	3	25	47
513	46	3	24
514	6	26	48
515	10	30	54
516	27	49	7
517	29	49	7
518	54	6	32
519	26	48	6
520	25	46	5
521	25	47	5
522	8	30	52
523	31	53	11
524	6	26	48
525	47	5	27
526	28	50	8
527	45	3	25
528	32	52	10
529	31	53	11
530	24	44	3
531	46	3	26
532	52	11	32
533	30	52	10
534	31	51	11
535	46	4	26
536	25	49	5
537	9	31	52
538	51	9	31
539	47	3	27
540	47	3	25
541	50	7	30
542	25	47	5
543	25	47	5
544	31	52	11
545	28	50	8
546	31	53	11
547	47	5	27
548	29	49	7
549	5	27	49
550	3	25	46
551	48	6	28
552	25	47	5
553	5	27	49
554	46	3	24
555	5	25	49
556	3	25	46
557	5	25	49
558	27	49	7
559	49	5	27
560	24	44	3
561	47	5	27
562	32	52	10
563	26	46	5
564	53	9	31
565	47	3	25
566	45	3	25
567	29	51	9
568	25	47	5
569	5	27	49
570	9	31	52
571	49	7	29
572	52	10	32
573	25	45	3
574	7	29	51
575	27	49	7
576	8	30	52
577	47	5	27
578	27	49	5
579	50	8	30
580	10	32	54
581	5	27	49
582	32	52	10
583	8	30	52
584	27	48	7
585	9	30	52
586	51	9	31
587	26	48	6
588	49	5	29
589	30	52	10
590	7	29	51
591	3	25	47
592	9	31	53
593	51	7	31
594	25	47	5
595	5	27	49
596	52	9	32
597	50	6	30
598	9	36	58
599	9	30	52
600	25	47	3
601	8	28	52
602	29	49	9
603	4	26	48
604	50	6	30
605	31	51	9
606	46	3	26
607	47	5	27
608	7	29	51
609	48	5	28
610	49	7	29
611	31	53	11
612	51	9	31
613	27	49	7
614	30	52	10
615	51	7	29
616	7	28	50
617	9	30	52
618	26	48	6
619	25	47	5
620	8	30	52
621	25	47	5
622	8	32	54
623	8	28	52
624	3	24	46
625	30	50	10
626	25	47	5
627	26	48	6
628	49	7	29
629	27	49	7
630	30	58	9
631	10	32	54
632	27	49	7
633	9	31	53
634	9	31	53
635	54	8	34
636	32	52	11
637	29	51	9
638	9	31	52
639	7	29	51
640	30	52	10
641	24	46	4
642	52	9	31
643	8	30	52
644	25	46	5
645	5	27	49
646	47	5	27
647	47	5	27
648	11	31	53
649	6	26	48
